round,clean_accuracy,fedrad_accuracy
1,10.02,10.13
2,18.59,17.44
3,20.7,21.09
4,18.82,17.95
5,24.85,24.2
6,27.29,25.3
7,28.73,26.99
8,25.89,24.86
9,28.95,29.78
10,32.09,32.39
11,32.58,33.19
12,34.49,33.56
13,30.89,32.39
14,36.39,35.43
15,33.67,34.05
16,37.02,35.53
17,32.61,33.71
18,39.7,39.85
19,35.31,36.49
20,35.99,36.67
21,33.24,32.68
22,35.52,37.27
23,34.61,34.35
24,38.91,39.18
25,25.7,27.51
26,43.69,43.97
27,35.54,35.9
28,44.26,45.73
29,40.26,39.68
30,41.56,42.81
31,48.1,47.18
32,38.28,40.25
33,41.02,42.65
34,46.91,46.73
35,43.18,43.14
36,48.46,48.09
37,34.1,32.89
38,44.81,44.66
39,43.28,43.45
40,47.18,48.02
