round,source_replicate,heldout_replicate,without_D_vs_full_heldout_G,without_D_vs_full_heldout_A,without_D_vs_full_adapted_loss,full_G_vs_baseline,without_D_G_vs_baseline,full_A_vs_baseline,without_D_A_vs_baseline,full_adapted_loss_vs_baseline,without_D_adapted_loss_vs_baseline
1,0,1,0.0,0.0,0.0,0.12063621282577514,0.12063621282577514,0.05828390121459959,0.05828390121459959,-0.0582839012145997,-0.0582839012145997
1,0,2,0.0,0.0,0.0,-0.0011289179325103538,-0.0011289179325103538,-0.06740092635154726,-0.06740092635154726,0.06740092635154715,0.06740092635154715
1,1,0,0.0,0.0,0.0,0.06398222446441654,0.06398222446441654,0.009351825714111306,0.009351825714111306,-0.009351825714111417,-0.009351825714111417
1,1,2,0.0,0.0,0.0,-0.009159451723098733,-0.009159451723098733,-0.06738362908363343,-0.06738362908363343,0.0673836290836336,0.0673836290836336
1,2,0,0.020440030097961442,0.01176264286041262,-0.011762642860412509,-0.04679839611053466,-0.026358366012573214,-0.05662550926208498,-0.04486286640167236,0.05662550926208487,0.04486286640167236
1,2,1,0.02238948345184333,0.009500646591186546,-0.009500646591186435,0.03973391056060788,0.062123394012451205,0.0318928480148315,0.041393494606018044,-0.03189284801483172,-0.041393494606018155
5,0,1,0.32928149700164866,0.2777799367904663,-0.2777799367904663,10.303319299221037,10.632600796222686,10.31562639474869,10.593406331539157,-10.315626394748687,-10.593406331539153
5,0,2,1.831482636928559,1.7777507185935946,-1.7777507185935946,15.527758282423015,17.359240919351574,15.591157525777817,17.36890824437141,-15.591157525777817,-17.36890824437141
5,1,0,0.0,0.0,0.0,4.545689165592194,4.545689165592194,4.664648306369784,4.664648306369784,-4.664648306369777,-4.664648306369777
5,1,2,0.0,0.0,0.0,6.076098027825353,6.076098027825353,6.167759087681766,6.167759087681766,-6.167759087681766,-6.167759087681766
5,2,0,-0.004448676109312544,-0.03786785602569154,0.03786785602569864,19.42605452537537,19.421605849266058,19.456920886039732,19.41905303001404,-19.456920886039732,-19.419053030014034
5,2,1,-0.3769389748573282,-0.4153013706207247,0.41530137062072825,11.009539771080014,10.632600796222686,11.008707702159882,10.593406331539157,-11.008707702159882,-10.593406331539153
10,0,1,0.0,0.0,0.0,21.4173187494278,21.4173187494278,21.380782270431524,21.380782270431524,-21.380782270431517,-21.380782270431517
10,0,2,0.0,0.0,0.0,28.114326870441445,28.114326870441445,28.120024919509888,28.120024919509888,-28.120024919509888,-28.120024919509888
10,1,0,2.380568563938141,2.2848505020141587,-2.2848505020141587,14.288514018058777,16.669082581996918,14.316254949569704,16.601105451583862,-14.316254949569704,-16.601105451583862
10,1,2,3.412960016727446,3.294323444366455,-3.294323444366455,17.701534414291388,21.114494431018834,17.78606152534485,21.080384969711304,-17.78606152534485,-21.080384969711304
10,2,0,0.0,0.0,0.0,16.476132941246036,16.476132941246036,16.552273750305176,16.552273750305176,-16.552273750305176,-16.552273750305176
10,2,1,0.0,0.0,0.0,11.127985560894011,11.127985560894011,11.18567867279053,11.18567867279053,-11.185678672790523,-11.185678672790523
20,0,1,0.0,0.0,0.0,14.266433107852933,14.266433107852933,14.294748306274414,14.294748306274414,-14.294748306274414,-14.294748306274414
20,0,2,0.0,0.0,0.0,13.834934782981868,13.834934782981868,13.79442462921142,13.79442462921142,-13.794424629211427,-13.794424629211427
20,1,0,0.0,0.0,0.0,18.66783686876297,18.66783686876297,18.638183212280268,18.638183212280268,-18.638183212280275,-18.638183212280275
20,1,2,0.0,0.0,0.0,16.706390500068657,16.706390500068657,16.62346801757812,16.62346801757812,-16.623468017578126,-16.623468017578126
20,2,0,-0.7282729983329759,-0.7546592712402358,0.7546592712402287,21.43840402364731,20.710131025314332,21.42963533401489,20.674976062774654,-21.42963533401489,-20.67497606277466
20,2,1,-6.725194811820984,-6.782783508300781,6.782783508300781,20.651021277904505,13.925826466083521,20.694434738159188,13.911651229858407,-20.694434738159174,-13.911651229858393
40,0,1,0.0,0.0,0.0,56.50743376016618,56.50743376016618,56.46169700622559,56.46169700622559,-56.46169700622559,-56.46169700622559
40,0,2,0.0,0.0,0.0,28.65748487710951,28.65748487710951,28.6033353805542,28.6033353805542,-28.6033353805542,-28.6033353805542
40,1,0,-2.583477485179884,-2.5988891601562614,2.5988891601562614,33.83525516986845,31.251777684688562,33.849393081665056,31.250503921508795,-33.849393081665056,-31.250503921508795
40,1,2,-4.748178756237024,-4.795660400390631,4.795660400390631,11.757699644565577,7.009520888328552,11.730050086975098,6.934389686584467,-11.730050086975098,-6.934389686584467
40,2,0,-3.225277793407429,-3.2495216369628963,3.2495216369628963,2.8687436699867135,-0.35653412342071533,2.8587074279785156,-0.3908142089843807,-2.8587074279785156,0.3908142089843807
40,2,1,-10.15601208209992,-10.201212692260754,10.201212692260725,65.15511866807938,54.99910658597946,65.15013656616213,54.94892387390138,-65.1501365661621,-54.94892387390138
