candidate,round,replicate,best_score,second_best_score,absolute_margin,margin_per_K,Q_std,margin_relative_to_Q_std,best_assignment,second_assignment
Full,1,0,4.622159903021861,4.619185809946394,0.0029740930754664774,0.00029740930754664776,3.105542648646888,0.0009576725912176139,"[8, 1, 0, 5, 3, 2, 7, 6, 9, 4]","[8, 7, 0, 5, 3, 2, 1, 6, 9, 4]"
G,1,0,1.6629669412743024,1.6627412795894414,0.00022566168486104488,2.2566168486104487e-05,0.9999999999991396,0.00022566168486123903,"[8, 7, 1, 5, 3, 2, 0, 6, 9, 4]","[8, 7, 5, 1, 3, 2, 0, 6, 9, 4]"
A,1,0,1.1544307600594734,1.1476590273585723,0.006771732700901145,0.0006771732700901145,0.9999999999991318,0.006771732700907024,"[8, 5, 1, 7, 3, 2, 0, 6, 9, 4]","[8, 5, 1, 7, 4, 2, 0, 6, 9, 3]"
C,1,0,7.344343317150365,7.242994227146177,0.10134909000418801,0.010134909000418801,0.9999999996839306,0.10134909003622136,"[3, 0, 4, 6, 8, 1, 5, 2, 7, 9]","[1, 0, 4, 6, 8, 2, 3, 5, 7, 9]"
G+C,1,0,3.024128274434496,2.9910566236918275,0.03307165074266871,0.0033071650742668712,1.1654566939261575,0.028376559090546618,"[8, 7, 0, 1, 3, 2, 5, 6, 9, 4]","[8, 7, 0, 1, 5, 2, 3, 6, 9, 4]"
A+C,1,0,2.3816985437296707,2.355848273440121,0.02585027028954956,0.0025850270289549558,1.1584856873006637,0.02231384519715745,"[8, 1, 0, 5, 3, 2, 7, 6, 9, 4]","[8, 0, 3, 5, 6, 2, 7, 1, 9, 4]"
G+A,1,0,2.7179878824630714,2.683977730669005,0.03401015179406652,0.003401015179406652,1.998773059817232,0.017015514406210987,"[8, 5, 1, 7, 3, 2, 0, 6, 9, 4]","[8, 7, 1, 5, 3, 2, 0, 6, 9, 4]"
Full,1,1,8.136020762904344,8.094148836511302,0.04187192639304271,0.004187192639304271,2.8676400523190906,0.01460152795647433,"[8, 7, 0, 5, 6, 1, 3, 2, 9, 4]","[8, 7, 0, 5, 6, 3, 1, 2, 9, 4]"
G,1,1,2.4580412580690627,2.3827390001545474,0.07530225791451528,0.007530225791451528,0.9999999999987284,0.07530225791461104,"[8, 0, 5, 1, 6, 7, 3, 2, 9, 4]","[8, 0, 5, 3, 6, 7, 4, 2, 9, 1]"
A,1,1,1.7702179087096228,1.7535797560608521,0.016638152648770665,0.0016638152648770666,0.9999999999986992,0.016638152648792308,"[0, 8, 6, 5, 4, 3, 7, 2, 9, 1]","[8, 0, 6, 5, 4, 3, 7, 2, 9, 1]"
C,1,1,7.538545478387341,7.5286745274463485,0.009870950940992884,0.0009870950940992884,0.9999999996546357,0.009870950944401958,"[1, 7, 0, 5, 8, 2, 3, 6, 9, 4]","[0, 1, 8, 5, 3, 2, 7, 6, 9, 4]"
G+C,1,1,4.083045750724983,4.02677791000356,0.05626784072142321,0.005626784072142321,1.0673396986029353,0.05271783743739078,"[8, 7, 0, 5, 6, 1, 3, 2, 9, 4]","[8, 7, 0, 5, 6, 3, 1, 2, 9, 4]"
A+C,1,1,3.239795819674926,3.200407288195029,0.03938853147989718,0.0039388531479897185,1.0531642274114783,0.03740017981498323,"[8, 7, 0, 5, 6, 1, 3, 2, 9, 4]","[8, 7, 0, 5, 6, 3, 1, 2, 9, 4]"
G+A,1,1,4.074227768289344,4.05238267618617,0.02184509210317387,0.002184509210317387,1.9970664858522502,0.010938590306296915,"[8, 0, 6, 5, 4, 7, 3, 2, 9, 1]","[8, 0, 6, 5, 4, 3, 7, 2, 9, 1]"
Full,1,2,8.23487982814255,7.935252741684331,0.29962708645821845,0.029962708645821845,2.9395656445280958,0.10192903397682727,"[0, 7, 2, 6, 1, 3, 4, 5, 8, 9]","[7, 0, 2, 6, 1, 3, 4, 5, 8, 9]"
G,1,2,2.554874146236012,2.4884361398523986,0.06643800638361341,0.006643800638361341,0.9999999999985568,0.0664380063837093,"[8, 2, 0, 6, 1, 3, 4, 5, 7, 9]","[8, 2, 1, 6, 0, 3, 4, 5, 7, 9]"
A,1,2,2.3400718840891104,2.306797942155515,0.03327394193359545,0.0033273941933595454,0.9999999999985303,0.03327394193364436,"[0, 2, 3, 6, 1, 9, 4, 5, 8, 7]","[0, 2, 1, 6, 9, 3, 4, 5, 8, 7]"
C,1,2,8.29277835908207,8.263959848237096,0.028818510844972778,0.0028818510844972776,0.9999999996646904,0.0288185108546359,"[3, 0, 4, 5, 8, 1, 6, 2, 7, 9]","[3, 0, 4, 6, 8, 1, 5, 2, 7, 9]"
G+C,1,2,3.9995305050712386,3.8822962953259315,0.11723420974530718,0.011723420974530718,1.0988606308978681,0.10668705971340176,"[8, 0, 2, 6, 1, 3, 4, 5, 7, 9]","[8, 0, 2, 6, 5, 3, 4, 1, 7, 9]"
