candidate,round,source_replicate,heldout_replicate,cross_score,baseline_score,cross_minus_baseline,random_mean,random_std,random_p90,random_p95,cross_percentile,cross_minus_baseline_random_std,cross_above_baseline,cross_above_random_p90,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile
Full,1,0,1,4.574386090469435,-0.8760216306638426,5.450407721133278,0.005006995454695495,2.480408073988879,3.2421072469764947,4.18643509116273,97.0,2.1973834782629864,True,True,0.6188855528831482,0.49824934005737304,0.12063621282577514,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,99.1,0.5122678279876709,0.4539839267730713,0.05828390121459959,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,86.1,2.074916863441467,2.133200764656067,-0.0582839012145997,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,86.1
G,1,0,1,1.6912202382463863,0.05257206959286731,1.638648168653519,-0.007186249218815613,0.6871440122571181,0.8559154727871724,1.1350198414928838,99.5,2.3847230557549612,True,True,0.6271089911460876,0.49824934005737304,0.1288596510887146,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,99.5,0.5228522539138794,0.4539839267730713,0.06886832714080804,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,92.0,2.064332437515259,2.133200764656067,-0.06886832714080793,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,92.0
A,1,0,1,0.42068599351654323,-0.14835718675447507,0.5690431802710183,0.010690590383423007,0.5325877655765635,0.6936448754492375,0.8679018453621078,76.6,1.0684495909420473,True,False,0.5782222628593445,0.49824934005737304,0.07997292280197149,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,93.9,0.49773027896881106,0.4539839267730713,0.043746352195739746,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,76.6,2.089454412460327,2.133200764656067,-0.043746352195739746,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,76.6
C,1,0,1,5.465381960827578,1.9531285494858541,3.512253411341724,-0.09519158234453434,1.965126986083163,2.4635302645580803,3.166272430793204,99.7,1.7872908143927384,True,True,0.5895755290985107,0.49824934005737304,0.0913261890411377,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,95.6,0.5354636907577515,0.4539839267730713,0.08147976398468015,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,95.8,2.0517210006713866,2.133200764656067,-0.08147976398468026,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,95.8
G+C,1,0,1,3.476296423397494,0.5408542069643312,2.935442216433163,-0.030984144804949147,0.9809963679482107,1.2275795295504541,1.6689360395752082,100.0,2.9923069160518367,True,True,0.6270242094993591,0.49824934005737304,0.12877486944198607,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,99.5,0.5214858055114746,0.4539839267730713,0.0675018787384033,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,91.6,2.0656988859176635,2.133200764656067,-0.06750187873840341,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,91.6
A+C,1,0,1,2.489778280657214,0.3399249506169886,2.1498533300402256,-0.013107305202710627,0.800839907585349,0.9850080769477283,1.3417784720970132,100.0,2.6844982494970213,True,True,0.6188855528831482,0.49824934005737304,0.12063621282577514,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,99.1,0.5122678279876709,0.4539839267730713,0.05828390121459959,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,86.1,2.074916863441467,2.133200764656067,-0.0582839012145997,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,86.1
G+A,1,0,1,1.4902364763219293,-0.09578511716160776,1.586021593483537,0.0035043411646076025,1.1972586417689455,1.527904329794697,1.9440427738557537,89.5,1.3247109172168479,True,False,0.5782222628593445,0.49824934005737304,0.07997292280197149,0.4935500786423684,0.054035478366237344,0.5614224803447724,0.5833706277608871,93.9,0.49773027896881106,0.4539839267730713,0.043746352195739746,0.46621104822158815,0.04094376802294321,0.5187145483493805,0.5321109074354172,76.6,2.089454412460327,2.133200764656067,-0.043746352195739746,2.12097364320755,0.04094376802294321,2.1740242648124695,2.18949976503849,76.6
Full,1,0,2,2.5029395806355534,3.7650996504576257,-1.2621600698220723,-0.1552718464255422,2.1393889375442368,2.6463702150057786,3.242058370753653,88.5,-0.5899628850427177,False,False,0.5163877010345459,0.5175166189670563,-0.0011289179325103538,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,94.7,0.4161055564880371,0.48350648283958436,-0.06740092635154726,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,52.3,2.2075498342514037,2.1401489078998566,0.06740092635154715,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,52.3
G,1,0,2,1.254207074164588,1.0757633838776828,0.17844369028690532,-0.040110338522353045,0.6638622500930708,0.8381022720035421,1.081805269115873,97.5,0.26879626046199834,True,True,0.5298810243606568,0.5175166189670563,0.012364405393600508,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,97.5,0.4268582820892334,0.48350648283958436,-0.056648200750350985,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,65.6,2.1967971086502076,2.1401489078998566,0.05664820075035104,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,65.6
A,1,0,2,0.20974736362628998,0.9832100023707041,-0.7734626387444141,-0.0401749781310048,0.5092533658558999,0.6481928521112771,0.8132155053052365,69.4,-1.518816939863439,False,False,0.5113401889801026,0.5175166189670563,-0.006176429986953669,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,93.2,0.4308833122253418,0.48350648283958436,-0.05262317061424254,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,69.4,2.192772078514099,2.1401489078998566,0.052623170614242376,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,69.4
