candidate,round,source_replicates,heldout_replicate,single_Q_int_pearson,averaged_Q_int_pearson,delta_Q_int_pearson,single_Q_int_spearman,averaged_Q_int_spearman,delta_Q_int_spearman,single_functional_percentile,averaged_functional_percentile,delta_functional_percentile,single_heldout_optimal_overlap,averaged_heldout_optimal_overlap,delta_heldout_optimal_overlap,single_exact_heldout_fraction,averaged_exact_heldout,source_single_pair_overlap,averaged_to_source_overlap,single_margin_per_K,averaged_margin_per_K,delta_margin_per_K,single_margin_relative_Q_std,averaged_margin_relative_Q_std,delta_margin_relative_Q_std,single_G_vs_baseline,averaged_G_vs_baseline,single_G_quality_percentile,averaged_G_quality_percentile,single_A_vs_baseline,averaged_A_vs_baseline,single_A_quality_percentile,averaged_A_quality_percentile,single_adapted_loss_vs_baseline,averaged_adapted_loss_vs_baseline,single_adapted_loss_quality_percentile,averaged_adapted_loss_quality_percentile
Full,1,"[1, 2]",0,0.3964945957130585,0.5033328574530176,0.10683826173995908,0.47318331833183314,0.6025802580258025,0.12939693969396937,66.05,84.8,18.75,0.25,0.0,-0.25,0.0,False,0.1,0.44999999999999996,0.017074950642563057,0.008749453417446063,-0.008325497225116994,0.058265280966650804,0.03030367602776967,-0.027961604938881134,0.00859191417694094,0.019680953025817904,76.35,89.8,-0.02363684177398684,0.00097758769989012,60.900000000000006,82.3,0.023636841773986728,-0.0009775876998903144,60.900000000000006,82.3
G,1,"[1, 2]",0,0.5001089222481119,0.6037586516214865,0.10364972937337458,0.4999399939993999,0.6215061506150614,0.1215661566156615,67.78333333333333,75.6,7.816666666666663,0.2,0.2,0.0,0.0,False,0.1,0.35,0.007087013214906434,0.0014458811303247553,-0.0056411320845816786,0.07087013214916016,0.014458811303275546,-0.05641132084588461,0.011199057102203383,0.025617432594299328,80.94999999999999,91.6,-0.025964784622192386,-0.021103501319885254,61.2,67.6,0.025964784622192427,0.021103501319885254,61.2,67.6
Full,1,"[0, 2]",1,0.3546544164238208,0.43946497869344825,0.08481056226962747,0.4615361536153615,0.4761356135613561,0.014599459945994597,80.31666666666666,75.89999999999999,-4.416666666666671,0.3,0.2,-0.09999999999999998,0.0,False,0.0,0.25,0.015130058976684246,0.0021345218776028575,-0.012995537099081389,0.05144335328402244,0.007015173845970137,-0.0444281794380523,0.0801850616931915,0.07634397745132443,87.45,93.3,0.04508837461471554,0.032290244102477994,76.75,67.2,-0.04508837461471571,-0.03229024410247794,76.75,67.2
G,1,"[0, 2]",1,0.5216365095760043,0.6371974224613698,0.11556091288536552,0.551005100510051,0.6464446444644464,0.09543954395439536,82.51666666666667,74.76666666666667,-7.75,0.2,0.2,0.0,0.0,False,0.1,0.4,0.003333183403423723,0.0001579020286591959,-0.003175281374764527,0.03333183403428527,0.0015790202865943622,-0.03175281374769091,0.08855381608009338,0.07627166509628297,90.65,93.3,0.04906048774719235,0.029723572731018055,78.44999999999999,65.5,-0.049060487747192294,-0.02972357273101789,78.44999999999999,65.5
Full,1,"[0, 1]",2,0.25277012481738914,0.2754413598505682,0.022671235033179082,0.36028202820282024,0.3025862586258625,-0.05769576957695771,64.2,74.43333333333332,10.23333333333332,0.05,0.1,0.05,0.0,False,0.5,0.6000000000000001,0.0022423009734254596,0.004298887868969992,0.002056586895544532,0.007779600273845972,0.014122505467407594,0.006342905193561622,-0.005144184827804543,-0.00038973093032834694,93.8,95.1,-0.06739227771759035,-0.05434834957122803,49.4,64.1,0.06739227771759038,0.05434834957122803,49.4,64.1
G,1,"[0, 1]",2,0.3995890945466387,0.44362731992891075,0.044038225382272034,0.4422202220222022,0.43150315031503145,-0.010717071707170733,70.31666666666666,66.0,-4.316666666666663,0.1,0.1,0.0,0.0,False,0.3,0.6000000000000001,0.0037763959799688163,0.002492997397345187,-0.0012833985826236293,0.03776395979973614,0.024929973973484128,-0.01283398582625201,0.006113854050636303,-0.008221554756164484,96.44999999999999,93.2,-0.06003892123699189,-0.06438399553298951,57.25,52.4,0.06003892123699184,0.06438399553298968,57.25,52.4
Full,5,"[1, 2]",0,0.6412186074728086,0.709034608550781,0.06781600107797248,0.5863846384638463,0.6256465646564656,0.03926192619261937,80.96666666666667,98.53333333333335,17.566666666666677,0.4,0.3,-0.10000000000000003,0.0,False,0.2,0.55,0.0036739075828068125,0.0045447010948283404,0.000870793512021528,0.011919661794923422,0.014739892173552236,0.002820230378628814,11.985871845483782,14.661420905590063,80.9,98.6,12.060784596204758,14.702570974826813,81.0,98.5,-12.060784596204755,-14.702570974826813,81.0,98.5
G,5,"[1, 2]",0,0.6661917068318381,0.7298680030908408,0.06367629625900262,0.6164776477647764,0.653045304530453,0.036567656765676526,84.71666666666667,99.8,15.083333333333329,0.39999999999999997,0.6,0.2,0.0,False,0.2,0.55,0.0018647172150189073,0.0008106221344401643,-0.001054095080578743,0.018647172150189427,0.008106221344401804,-0.010540950805787623,12.555962121486669,17.32672164440155,84.55,99.8,12.659687566757203,17.387516379356384,84.8,99.8,-12.6596875667572,-17.387516379356384,84.8,99.8
Full,5,"[0, 2]",1,0.6320105450788869,0.6943433478568604,0.062332802777973484,0.6235703570357035,0.7011941194119411,0.07762376237623758,98.86666666666667,98.90000000000002,0.03333333333334565,0.25,0.4,0.15000000000000002,0.0,False,0.5,0.7,0.007288429569748355,0.009979338674391335,0.00269090910464298,0.023799749054503175,0.03250880892325435,0.008709059868751173,10.656429535150526,10.632600796222686,99.0,98.9,10.662167048454286,10.593406331539157,98.8,98.9,-10.662167048454284,-10.593406331539153,98.8,98.9
G,5,"[0, 2]",1,0.6614641224685263,0.7218497253590129,0.06038560289048667,0.6565976597659765,0.7344854485448544,0.07788778877887792,98.98333333333335,98.90000000000002,-0.0833333333333286,0.15000000000000002,0.1,-0.05000000000000002,0.0,False,0.7,0.85,0.0018885336538196017,0.00030140370929823137,-0.0015871299445213705,0.018885336538196365,0.003014037092982369,-0.015871299445213996,10.895351767539976,10.781163763999938,99.05000000000001,98.9,10.920702862739564,10.832698023319246,98.95,98.9,-10.920702862739562,-10.832698023319242,98.95,98.9
