protocol,candidate,round,replicate,margin_per_K,margin_relative_Q_std
P0_32_32,Full,1,0,0.001760238215697374,0.005639158237602802
P0_32_32,Full,1,1,0.0035280554589751214,0.01175705215850578
P0_32_32,Full,1,2,0.0021115640336367035,0.007500505749208113
P0_32_32,Full,20,0,0.01864141580104217,0.06194374323966804
P0_32_32,Full,20,1,0.013019519265356116,0.04277292062910118
P0_32_32,Full,20,2,0.0242948666464617,0.08153538008436174
P0_32_32,Full,40,0,0.00449223064661961,0.014930647238552064
P0_32_32,Full,40,1,0.013701520335340866,0.045705949052839645
P0_32_32,Full,40,2,0.002194601448398359,0.007407307740711631
P0_32_32,G,1,0,0.0001855839495960243,0.001855839495961404
P0_32_32,G,1,1,0.0007312671427435191,0.007312671427441166
P0_32_32,G,1,2,0.0006923148070031582,0.006923148070040169
P0_32_32,G,20,0,0.0020012001778363596,0.02001200177836402
P0_32_32,G,20,1,0.0063187979930401815,0.06318797993040269
P0_32_32,G,20,2,0.002897235320696723,0.028972353206967724
P0_32_32,G,40,0,0.0018245620872299195,0.01824562087229928
P0_32_32,G,40,1,0.001989273566080296,0.01989273566080305
P0_32_32,G,40,2,0.0038095813398929756,0.038095813398930034
P1_32_64,Full,1,0,0.00014077161592798148,0.0004518601574333516
P1_32_64,Full,1,1,0.007061793642161441,0.023846097111988186
P1_32_64,Full,1,2,0.00775805263038194,0.02668161318173188
P1_32_64,Full,20,0,0.004175993918919829,0.013831715368577604
P1_32_64,Full,20,1,0.01692269084470155,0.05557317004855709
P1_32_64,Full,20,2,0.017544981716913276,0.05918370394319417
P1_32_64,Full,40,0,0.011196569653209565,0.037212772542151606
P1_32_64,Full,40,1,0.011244015306827749,0.037529910516466126
P1_32_64,Full,40,2,0.012047480552224776,0.040717837466887535
P1_32_64,G,1,0,0.0009220663097519122,0.009220663097524884
P1_32_64,G,1,1,0.000683982727277721,0.0068398272727835645
P1_32_64,G,1,2,0.0028038251189197007,0.028038251189232477
P1_32_64,G,20,0,0.00521524544558849,0.05215245445588616
P1_32_64,G,20,1,0.009051810173853703,0.0905181017385385
P1_32_64,G,20,2,0.005215237816846585,0.052152378168466865
P1_32_64,G,40,0,0.0008676873218596449,0.008676873218596485
P1_32_64,G,40,1,0.0036065681400621052,0.03606568140062122
P1_32_64,G,40,2,0.0018055994979732759,0.01805599497973291
P2_64_32,Full,1,0,0.00913902217402347,0.030006152498215633
P2_64_32,Full,1,1,0.0027342647841197554,0.009085095092479643
P2_64_32,Full,1,2,0.002088120617223055,0.007493081591454008
P2_64_32,Full,20,0,0.004343132770270586,0.014491307703267012
P2_64_32,Full,20,1,0.002074850678895146,0.00685882141743379
P2_64_32,Full,20,2,0.012945100810898858,0.042678729549807545
P2_64_32,Full,40,0,0.013056999953030158,0.04297232523120337
P2_64_32,Full,40,1,0.027685504876264044,0.09225301827370253
P2_64_32,Full,40,2,0.020249579932092487,0.06770640525324285
P2_64_32,G,1,0,0.0008739133016330225,0.008739133016339282
P2_64_32,G,1,1,0.0029949903817437116,0.029949903817466973
P2_64_32,G,1,2,0.0008545929968318156,0.008545929968329244
P2_64_32,G,20,0,0.003476377339698189,0.03476377339698272
P2_64_32,G,20,1,0.0017478073903182789,0.01747807390318314
P2_64_32,G,20,2,0.007089205383703856,0.0708920538370398
P2_64_32,G,40,0,0.00034401367595089384,0.0034401367595089513
P2_64_32,G,40,1,0.00041072255905034717,0.004107225590503491
P2_64_32,G,40,2,0.00011321266686241671,0.0011321266686241756
P3_64_64,Full,1,0,0.013296921608318791,0.04411309798009946
P3_64_64,Full,1,1,0.006112899643556169,0.020727724938240086
P3_64_64,Full,1,2,0.0032523519254489485,0.011550480498262301
P3_64_64,Full,20,0,0.006942182214854142,0.023181407221671228
P3_64_64,Full,20,1,0.0060533739976104785,0.020028053021775925
P3_64_64,Full,20,2,0.020606620190760337,0.06810005387680022
P3_64_64,Full,40,0,0.007847336227567147,0.02582307135907996
P3_64_64,Full,40,1,0.02035510093898374,0.06782646549006409
P3_64_64,Full,40,2,0.015984437850743306,0.05350181348957529
P3_64_64,G,1,0,0.0016918913806122093,0.01691891380614066
P3_64_64,G,1,1,0.00602654876987403,0.060265487698808635
P3_64_64,G,1,2,0.0020545391418508975,0.020545391418536972
P3_64_64,G,20,0,0.005578954041466933,0.0557895404146709
P3_64_64,G,20,1,0.0074460476616017065,0.07446047661601865
P3_64_64,G,20,2,0.009631600264831609,0.09631600264831801
P3_64_64,G,40,0,0.0014630732913716304,0.014630732913716357
P3_64_64,G,40,1,0.0028794011790032937,0.028794011790033082
P3_64_64,G,40,2,0.0026380495897489363,0.0263804958974896
