round,clean_accuracy,fedrad_accuracy,delta
1,10.02,10.1,0.08000000000000007
2,18.59,17.74,-0.8500000000000014
3,20.7,20.45,-0.25
4,18.82,18.34,-0.4800000000000004
5,24.85,25.87,1.0199999999999996
6,27.29,25.94,-1.3499999999999979
7,28.73,28.7,-0.030000000000001137
8,25.89,26.0,0.10999999999999943
9,28.95,31.32,2.370000000000001
10,32.09,32.85,0.759999999999998
11,32.58,33.33,0.75
12,34.49,34.3,-0.19000000000000483
13,30.89,32.29,1.3999999999999986
14,36.39,36.4,0.00999999999999801
15,33.67,34.61,0.9399999999999977
16,37.02,37.3,0.27999999999999403
17,32.61,33.42,0.8100000000000023
18,39.7,41.59,1.8900000000000006
19,35.31,37.58,2.269999999999996
20,35.99,36.73,0.7399999999999949
21,33.24,34.28,1.0399999999999991
22,35.52,37.04,1.519999999999996
23,34.61,34.2,-0.4099999999999966
24,38.91,38.14,-0.769999999999996
25,25.7,25.32,-0.379999999999999
26,43.69,44.31,0.6200000000000045
27,35.54,36.82,1.2800000000000011
28,44.26,44.21,-0.04999999999999716
29,40.26,42.21,1.9500000000000028
30,41.56,42.61,1.0499999999999972
31,48.1,48.5,0.3999999999999986
32,38.28,40.98,2.6999999999999957
33,41.02,42.61,1.5899999999999963
34,46.91,46.81,-0.09999999999999432
35,43.18,43.09,-0.0899999999999963
36,48.46,48.72,0.259999999999998
37,34.1,31.81,-2.2900000000000027
38,44.81,44.38,-0.4299999999999997
39,43.28,43.48,0.19999999999999574
40,47.18,48.02,0.8400000000000034
