candidate,round,replicate,best_score,second_best_score,absolute_margin,margin_per_K,Q_std,margin_relative_to_Q_std,best_assignment,second_assignment
Full,1,0,5.888543348254814,5.797153126514579,0.0913902217402347,0.00913902217402347,3.0457160992456256,0.030006152498215633,"[8, 1, 4, 6, 0, 5, 3, 2, 7, 9]","[8, 1, 0, 6, 4, 5, 3, 2, 7, 9]"
G,1,0,1.8695729436423862,1.860833810626056,0.008739133016330225,0.0008739133016330225,0.9999999999989637,0.008739133016339282,"[8, 9, 2, 6, 0, 5, 3, 4, 7, 1]","[8, 1, 2, 6, 0, 5, 3, 4, 7, 9]"
A,1,0,1.4270477523399347,1.4259017105347653,0.0011460418051694177,0.00011460418051694177,0.9999999999989542,0.0011460418051706161,"[8, 3, 2, 7, 0, 5, 4, 6, 1, 9]","[8, 1, 2, 7, 0, 5, 4, 6, 9, 3]"
C,1,0,7.304658201502246,7.157844273945935,0.14681392755631073,0.014681392755631073,0.9999999996753267,0.1468139276039773,"[3, 0, 4, 6, 8, 1, 5, 2, 7, 9]","[3, 0, 9, 6, 8, 1, 5, 2, 7, 4]"
G+C,1,0,3.119902255201673,3.116149216557686,0.0037530386439867947,0.0003753038643986795,1.1610314627053564,0.003232503824867691,"[8, 0, 4, 5, 6, 2, 3, 1, 7, 9]","[8, 1, 4, 5, 0, 2, 3, 6, 7, 9]"
A+C,1,0,2.5143368512522284,2.495029170056969,0.019307681195259274,0.0019307681195259274,1.1503718107910859,0.01678386154297522,"[8, 1, 4, 6, 0, 5, 3, 2, 7, 9]","[8, 1, 4, 6, 0, 3, 5, 2, 7, 9]"
G+A,1,0,3.2462935361320424,3.2307858794479074,0.015507656684135007,0.0015507656684135007,1.997922409407017,0.007761891358302387,"[8, 1, 2, 6, 0, 5, 3, 4, 7, 9]","[8, 3, 2, 7, 0, 5, 4, 6, 9, 1]"
Full,1,1,7.355202178547332,7.327859530706134,0.027342647841197554,0.0027342647841197554,3.009616031848796,0.009085095092479643,"[8, 1, 2, 5, 4, 0, 3, 6, 7, 9]","[8, 7, 2, 5, 4, 0, 3, 6, 9, 1]"
G,1,1,2.3714992870746823,2.341549383257245,0.029949903817437118,0.0029949903817437116,0.9999999999990031,0.029949903817466973,"[8, 7, 2, 5, 4, 0, 3, 6, 9, 1]","[8, 3, 2, 5, 4, 7, 0, 6, 9, 1]"
A,1,1,1.8188541088840948,1.7994815630784406,0.019372545805654173,0.0019372545805654174,0.9999999999989947,0.019372545805673647,"[8, 3, 2, 5, 4, 0, 7, 6, 9, 1]","[8, 3, 2, 7, 4, 0, 5, 6, 9, 1]"
C,1,1,7.501418387170384,7.454987216762607,0.04643117040777689,0.004643117040777689,0.999999999650299,0.046431170424013915,"[1, 7, 0, 3, 6, 2, 8, 5, 9, 4]","[1, 7, 0, 5, 6, 3, 8, 2, 9, 4]"
G+C,1,1,3.8636556786604146,3.779625650697938,0.0840300279624766,0.008403002796247661,1.09886899789707,0.07646955926801714,"[8, 7, 0, 5, 6, 1, 3, 2, 9, 4]","[8, 1, 0, 5, 6, 3, 7, 2, 9, 4]"
A+C,1,1,3.1695257397337278,3.1001933092665137,0.06933243046721405,0.006933243046721405,1.089122051153395,0.06365900900986264,"[8, 1, 0, 5, 6, 3, 7, 2, 9, 4]","[8, 1, 0, 6, 5, 3, 7, 2, 9, 4]"
G+A,1,1,4.156704812918942,4.130583346399577,0.0261214665193652,0.00261214665193652,1.9982695887706912,0.013072043264910406,"[8, 3, 2, 5, 4, 0, 7, 6, 9, 1]","[8, 7, 2, 5, 4, 0, 3, 6, 9, 1]"
Full,1,2,7.897947959535374,7.8770667533631435,0.02088120617223055,0.002088120617223055,2.786731455860021,0.007493081591454008,"[8, 0, 9, 5, 3, 1, 6, 2, 7, 4]","[8, 0, 4, 5, 3, 1, 6, 2, 7, 9]"
G,1,2,2.2429224133269794,2.2343764833586612,0.008545929968318156,0.0008545929968318156,0.9999999999987025,0.008545929968329244,"[8, 7, 5, 6, 0, 1, 3, 2, 9, 4]","[8, 7, 5, 3, 0, 1, 6, 2, 9, 4]"
A,1,2,1.6402038103720993,1.6340325366020054,0.006171273770093855,0.0006171273770093855,0.999999999998679,0.006171273770102007,"[0, 5, 9, 6, 7, 1, 4, 2, 8, 3]","[0, 5, 9, 6, 3, 1, 4, 2, 8, 7]"
C,1,2,7.834225658468293,7.819378605907241,0.01484705256105201,0.001484705256105201,0.9999999996543125,0.01484705256618445,"[1, 0, 4, 8, 6, 3, 5, 2, 7, 9]","[1, 0, 4, 8, 5, 3, 6, 2, 7, 9]"
G+C,1,2,3.838050852118638,3.8319491011261415,0.006101750992496324,0.0006101750992496324,1.083083560558919,0.005633684430910899,"[8, 0, 4, 3, 5, 1, 6, 2, 7, 9]","[8, 0, 4, 5, 6, 1, 3, 2, 7, 9]"
A+C,1,2,3.184562983525431,3.1825627522277387,0.002000231297692334,0.0002000231297692334,1.067820465858129,0.001873190636110252,"[8, 0, 4, 5, 3, 1, 6, 2, 7, 9]","[8, 0, 9, 5, 3, 1, 6, 2, 7, 4]"
G+A,1,2,3.7008159679975092,3.6745875972462843,0.026228370751224972,0.002622837075122497,1.996804948906324,0.013135169143881876,"[8, 7, 5, 6, 3, 1, 4, 2, 9, 0]","[8, 7, 3, 6, 0, 1, 4, 2, 9, 5]"
Full,10,0,14.074238148215525,14.025818282626759,0.04841986558876599,0.004841986558876599,3.0594500152024073,0.01582633000969706,"[1, 7, 3, 0, 6, 9, 8, 2, 4, 5]","[1, 7, 3, 2, 6, 9, 0, 8, 4, 5]"
G,10,0,4.65271385867431,4.627401781209371,0.02531207746493891,0.0025312077464938907,0.9999999999999697,0.025312077464939676,"[2, 7, 3, 0, 6, 9, 1, 8, 4, 5]","[1, 7, 3, 0, 6, 9, 8, 2, 4, 5]"
A,10,0,4.658482258612431,4.6378923956225995,0.020589862989831786,0.0020589862989831786,0.9999999999999698,0.020589862989832407,"[2, 7, 3, 0, 6, 9, 1, 8, 4, 5]","[1, 7, 3, 0, 6, 9, 8, 2, 4, 5]"
C,10,0,8.99826153224734,8.891504135901155,0.10675739634618608,0.010675739634618608,0.99999999978615,0.10675739636901616,"[3, 9, 8, 5, 6, 7, 2, 1, 4, 0]","[3, 9, 2, 5, 6, 8, 7, 1, 4, 0]"
G+C,10,0,4.994595423092533,4.929197244618671,0.06539817847386153,0.006539817847386153,1.0783022437748473,0.060649209302319575,"[6, 7, 3, 2, 0, 9, 8, 1, 4, 5]","[6, 7, 3, 1, 0, 2, 8, 9, 4, 5]"
A+C,10,0,4.993174083885227,4.934056038684499,0.059118045200728275,0.005911804520072827,1.0776328969007347,0.054859168990433936,"[6, 7, 3, 2, 0, 9, 8, 1, 4, 5]","[6, 8, 3, 2, 0, 9, 7, 1, 4, 5]"
G+A,10,0,9.311196117286741,9.26529417683197,0.045901940454770696,0.00459019404547707,1.99998916816732,0.022951094528593226,"[2, 7, 3, 0, 6, 9, 1, 8, 4, 5]","[1, 7, 3, 0, 6, 9, 8, 2, 4, 5]"
