candidate,round,source_replicate,heldout_replicate,cross_score,baseline_score,cross_minus_baseline,random_mean,random_std,random_p90,random_p95,cross_percentile,cross_minus_baseline_random_std,cross_above_baseline,cross_above_random_p90,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile
Full,1,0,1,4.871079743596105,1.7552614698530573,3.1158182737430473,0.019951774702621817,2.12354179699652,2.8025798144393677,3.4541877999442434,99.0,1.467274285888781,True,True,0.3504128813743591,0.25835002660751344,0.09206285476684567,0.21132130080461503,0.064000753617432,0.29985401034355164,0.31667745828628535,98.5,0.2873716115951538,0.2253114700317383,0.062060141563415494,0.18979854592084885,0.05068952905354113,0.25812018275260923,0.2720450061559677,97.6,2.3315573930740356,2.393617534637451,-0.06206014156341544,2.4291304587483404,0.05068952905354112,2.4951462829113007,2.510131273269653,97.6
G,1,0,1,1.7269180278798246,0.4739572041489136,1.2529608237309109,0.005244517675041085,0.6378647231503377,0.8876074441706711,1.0552786567406296,99.7,1.964304935288923,True,True,0.3840670228004456,0.25835002660751344,0.12571699619293214,0.21132130080461503,0.064000753617432,0.29985401034355164,0.31667745828628535,99.7,0.3255440711975098,0.2253114700317383,0.10023260116577148,0.18979854592084885,0.05068952905354113,0.25812018275260923,0.2720450061559677,99.9,2.2933849334716796,2.393617534637451,-0.10023260116577148,2.4291304587483404,0.05068952905354112,2.4951462829113007,2.510131273269653,99.9
A,1,0,1,1.271442338433516,0.36032706878713106,0.911115269646385,0.003280441047840588,0.5096320808094211,0.6901855789136508,0.8301856313596204,99.55,1.7877902588065293,True,True,0.3599653959274292,0.25835002660751344,0.10161536931991577,0.21132130080461503,0.064000753617432,0.29985401034355164,0.31667745828628535,98.95,0.31593371629714967,0.2253114700317383,0.09062224626541138,0.18979854592084885,0.05068952905354113,0.25812018275260923,0.2720450061559677,99.55,2.3029952883720397,2.393617534637451,-0.09062224626541138,2.4291304587483404,0.05068952905354112,2.4951462829113007,2.510131273269653,99.55
C,1,0,1,6.09161204338611,2.075112732698405,4.016499310687705,0.03773909114695048,1.9964443118677682,2.570518604822198,3.272867247234137,99.8,2.0118263689158855,True,True,0.3127376675605774,0.25835002660751344,0.054387640953063976,0.21132130080461503,0.064000753617432,0.29985401034355164,0.31667745828628535,94.2,0.2554197311401367,0.2253114700317383,0.030108261108398426,0.18979854592084885,0.05068952905354113,0.25812018275260923,0.2720450061559677,88.9,2.363509273529053,2.393617534637451,-0.03010826110839826,2.4291304587483404,0.05068952905354112,2.4951462829113007,2.510131273269653,88.9
G+C,1,0,1,2.7827717548566793,0.9927353873235147,1.7900363675331645,0.01467929046177867,0.9492635878688899,1.2164604716733456,1.5601809427538778,99.8,1.8857105554336298,True,True,0.32913109064102175,0.25835002660751344,0.07078106403350831,0.21132130080461503,0.064000753617432,0.29985401034355164,0.31667745828628535,97.1,0.23124585151672364,0.2253114700317383,0.005934381484985346,0.18979854592084885,0.05068952905354113,0.25812018275260923,0.2720450061559677,76.5,2.387683153152466,2.393617534637451,-0.005934381484985263,2.4291304587483404,0.05068952905354112,2.4951462829113007,2.510131273269653,76.5
A+C,1,0,1,2.1900868968189258,0.8791052519617324,1.3109816448571934,0.012715213834578241,0.8033067760154425,1.0001476821574775,1.3132251556990886,99.7,1.6319813102534957,True,True,0.3504128813743591,0.25835002660751344,0.09206285476684567,0.21132130080461503,0.064000753617432,0.29985401034355164,0.31667745828628535,98.5,0.2873716115951538,0.2253114700317383,0.062060141563415494,0.18979854592084885,0.05068952905354113,0.25812018275260923,0.2720450061559677,97.6,2.3315573930740356,2.393617534637451,-0.06206014156341544,2.4291304587483404,0.05068952905354112,2.4951462829113007,2.510131273269653,97.6
G+A,1,0,1,2.7745814624653273,0.8342842729360447,1.9402971895292827,0.008524958722881809,1.1347008751246443,1.5620928486700834,1.8539840082683463,99.4,1.7099635966317073,True,True,0.36544588804244993,0.25835002660751344,0.10709586143493649,0.21132130080461503,0.064000753617432,0.29985401034355164,0.31667745828628535,99.3,0.312135124206543,0.2253114700317383,0.0868236541748047,0.18979854592084885,0.05068952905354113,0.25812018275260923,0.2720450061559677,99.4,2.3067938804626467,2.393617534637451,-0.08682365417480442,2.4291304587483404,0.05068952905354112,2.4951462829113007,2.510131273269653,99.4
Full,1,0,2,6.376453442754504,0.8365888387055636,5.53986460404894,0.11856275028511344,2.7675793859616697,3.668060631867506,4.810975784222412,99.4,2.001700342237506,True,True,0.8886843204498291,0.7780006468296051,0.11068367362022402,0.7737238266289235,0.05201029170989695,0.8439227706193925,0.8632202094793319,98.8,0.8185461282730102,0.7373089611530304,0.08123716711997986,0.7532303197205067,0.03792999946030705,0.8030030864477158,0.8176752629876136,95.2,1.7670123100280761,1.848249477148056,-0.08123716711997986,1.8323281185805798,0.03792999946030705,1.8812756192684172,1.8947185817360879,95.2
G,1,0,2,1.19679014549448,0.07722165737133169,1.1195684881231482,0.021728691052147028,0.6748484225846628,0.9325800833749949,1.182969876364294,95.1,1.6589925243289625,True,True,0.8642853319644928,0.7780006468296051,0.08628468513488763,0.7737238266289235,0.05201029170989695,0.8439227706193925,0.8632202094793319,95.1,0.8044918119907379,0.7373089611530304,0.06718285083770759,0.7532303197205067,0.03792999946030705,0.8030030864477158,0.8176752629876136,90.9,1.7810666263103485,1.848249477148056,-0.06718285083770748,1.8323281185805798,0.03792999946030705,1.8812756192684172,1.8947185817360879,90.9
A,1,0,2,0.7006803324263883,-0.19041493800730425,0.8910952704336925,0.019915835827472434,0.5010782279808694,0.6774441803631572,0.87127250427147,90.9,1.7783555953417187,True,True,0.8469507753849029,0.7780006468296051,0.06895012855529781,0.7737238266289235,0.05201029170989695,0.8439227706193925,0.8632202094793319,90.6,0.8047619879245758,0.7373089611530304,0.06745302677154541,0.7532303197205067,0.03792999946030705,0.8030030864477158,0.8176752629876136,90.9,1.7807964503765106,1.848249477148056,-0.06745302677154541,1.8323281185805798,0.03792999946030705,1.8812756192684172,1.8947185817360879,90.9
