round,heldout_replicate,Gamma,primary_score,primary_margin,margin_per_K,margin_per_Q_std,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile,adapted_loss_improvement,functional_percentile
1,1,0.5888543348254813,5.888543348254814,0.0913902217402347,0.00913902217402347,0.030006152498215633,0.3504128813743591,0.25835002660751344,0.09206285476684567,0.21132130080461503,0.064000753617432,0.29985401034355164,0.31667745828628535,98.5,0.2873716115951538,0.2253114700317383,0.062060141563415494,0.18979854592084885,0.05068952905354113,0.25812018275260923,0.2720450061559677,97.6,2.3315573930740356,2.393617534637451,-0.06206014156341544,2.4291304587483404,0.05068952905354112,2.4951462829113007,2.510131273269653,97.6,0.06206014156341544,97.89999999999999
1,2,0.5888543348254813,5.888543348254814,0.0913902217402347,0.00913902217402347,0.030006152498215633,0.8886843204498291,0.7780006468296051,0.11068367362022402,0.7737238266289235,0.05201029170989695,0.8439227706193925,0.8632202094793319,98.8,0.8185461282730102,0.7373089611530304,0.08123716711997986,0.7532303197205067,0.03792999946030705,0.8030030864477158,0.8176752629876136,95.2,1.7670123100280761,1.848249477148056,-0.08123716711997986,1.8323281185805798,0.03792999946030705,1.8812756192684172,1.8947185817360879,95.2,0.08123716711997986,96.39999999999999
10,1,1.4074238148215525,14.074238148215525,0.04841986558876599,0.004841986558876599,0.01582633000969706,-22.738674998283386,-38.871933257579805,16.13325825929642,-39.24052244722843,7.314455669478296,-30.220050131082534,-26.85171038091183,99.3,-22.74564970731735,-38.8922882437706,16.14663853645325,-39.31566802229881,7.341023645711857,-30.236076762676237,-26.868665215969084,99.3,24.52918734550476,40.675825881958005,-16.146638536453246,41.09920566048621,7.341023645711857,51.45148513317108,53.47963738203048,99.3,16.146638536453246,99.3
10,2,1.4074238148215525,14.074238148215525,0.04841986558876599,0.004841986558876599,0.01582633000969706,-29.694506096839905,-49.4017391204834,19.707233023643493,-43.12666501841546,7.521809477644931,-33.30903483510017,-30.38254898309708,96.3,-29.682229936122894,-49.42516988515854,19.742939949035645,-43.19831385917664,7.536858908611702,-33.39799082517624,-30.384073123931888,96.4,31.421563053131102,51.16450300216675,-19.742939949035645,44.93764697618485,7.536858908611702,55.02877411365509,58.28461125850677,96.4,19.742939949035645,96.36666666666667
20,1,1.5294100329922988,15.294100329922989,0.09386731357443168,0.009386731357443168,0.0313778699993911,-44.50362557172775,-60.48247493505478,15.97884936332703,-59.724276766288284,6.550212514784287,-51.043988840579985,-48.72049234271049,99.3,-44.65979596376419,-60.63088332414627,15.971087360382079,-59.887438507461546,6.558926595323374,-51.19314715623855,-48.82995263338089,99.3,46.39272575378418,62.36381311416626,-15.971087360382086,61.620368297481534,6.558926595323374,69.89071542739869,72.55047077178955,99.3,15.971087360382086,99.3
20,2,1.5294100329922988,15.294100329922989,0.09386731357443168,0.009386731357443168,0.0313778699993911,-56.315378594398496,-66.76463929414749,10.44926069974899,-67.97461507471799,7.891265134350556,-57.20569640517235,-54.784335192441944,92.5,-56.50251816511154,-66.90521267652511,10.402694511413571,-68.15824510173798,7.897707510835178,-57.38903156995773,-54.96919493436813,92.4,58.31789894104004,68.72059345245361,-10.402694511413571,69.97362587766648,7.897707510835178,80.3640290260315,81.92572011947631,92.4,10.402694511413571,92.43333333333334
30,1,0.9336186377825715,9.336186377825715,0.0059279261424300955,0.0005927926142430095,0.0019544510903902615,-107.1259706735611,-139.8478021502495,32.72183147668839,-149.29672983200552,15.318286411926461,-130.1264111793041,-126.34401400208473,100.0,-107.160859811306,-139.92150501012802,32.76064519882202,-149.44677808094025,15.362430123167767,-130.2325155520439,-126.41000028371812,100.0,108.72235612869262,141.48300132751464,-32.76064519882202,151.00827439832688,15.362430123167767,171.14939636230469,178.11983673095702,100.0,32.76064519882202,100.0
30,2,0.9336186377825715,9.336186377825715,0.0059279261424300955,0.0005927926142430095,0.0019544510903902615,-130.38874555826186,-161.79875721931458,31.41001166105272,-163.99104042627812,14.514567488037546,-145.55098334550857,-140.18737981170418,99.4,-130.4602367401123,-161.9546890258789,31.494452285766613,-164.15838809318544,14.55902820739019,-145.68309815406798,-140.2845051908493,99.4,132.13104553222655,163.62549781799316,-31.494452285766613,165.8291968852997,14.55902820739019,185.6134324359894,190.20743675231932,99.4,31.494452285766613,99.40000000000002
40,1,0.6356555962177437,6.3565559621774375,0.014983074977719113,0.0014983074977719113,0.004944742449863183,-124.43283931016921,-162.8624082684517,38.42956895828249,-148.7965156419933,10.008020836063423,-136.35548980414868,-134.00880001574754,99.9,-124.67408999800682,-163.09980868697167,38.42571868896485,-149.02126438803674,10.007506294265163,-136.56655864119531,-134.16403312087058,99.9,126.1861343383789,164.61185302734376,-38.42571868896485,150.53330872840883,10.007506294265163,164.42778430938722,168.1733979988098,99.9,38.42571868896485,99.90000000000002
40,2,0.6356555962177437,6.3565559621774375,0.014983074977719113,0.0014983074977719113,0.004944742449863183,-116.35901962518692,-143.26570477485657,26.906685149669656,-141.62087377322914,9.836101952567299,-129.39032065749169,-126.4601793885231,99.9,-116.58256872296333,-143.49956281781198,26.916994094848647,-141.846172343874,9.834414494095432,-129.60917234539986,-126.69905321240425,99.9,117.90972442626953,144.82671852111815,-26.91699409484862,143.17332804718018,9.834414494095432,156.35098152160643,159.53726419448853,99.9,26.91699409484862,99.90000000000002
