round,clean_accuracy,fedrad_accuracy,delta_fedrad_minus_clean,delta_trailing_10_mean
1,10.04,10.1,0.0600000000000005,
2,18.94,17.37,-1.5700000000000003,
3,21.31,19.86,-1.4499999999999993,
4,18.46,18.17,-0.28999999999999915,
5,24.99,25.46,0.4700000000000024,
6,26.54,26.87,0.33000000000000185,
7,29.19,28.78,-0.41000000000000014,
8,26.58,26.04,-0.5399999999999991,
9,30.55,30.21,-0.33999999999999986,
10,33.61,32.4,-1.2100000000000009,-0.49499999999999944
11,32.08,33.07,0.990000000000002,-0.40199999999999925
12,34.59,33.09,-1.5,-0.39499999999999924
13,32.86,31.19,-1.6699999999999982,-0.41699999999999915
14,35.56,35.44,-0.12000000000000455,-0.3999999999999997
15,35.13,34.85,-0.28000000000000114,-0.47500000000000003
16,36.06,36.93,0.8699999999999974,-0.4210000000000005
17,32.98,34.35,1.3700000000000045,-0.24300000000000005
18,39.01,40.39,1.3800000000000026,-0.05099999999999985
19,36.39,36.87,0.4799999999999969,0.030999999999999812
20,35.95,36.46,0.509999999999998,0.2029999999999997
21,33.86,33.07,-0.7899999999999991,0.024999999999999606
22,37.08,37.72,0.6400000000000006,0.2389999999999997
23,33.69,33.93,0.240000000000002,0.42999999999999977
24,38.41,36.83,-1.5799999999999983,0.28400000000000036
25,26.15,24.98,-1.1699999999999982,0.19500000000000067
26,44.52,44.71,0.18999999999999773,0.12700000000000067
27,36.21,35.26,-0.9500000000000028,-0.10500000000000012
28,45.02,43.6,-1.4200000000000017,-0.3850000000000005
29,41.56,40.43,-1.1300000000000026,-0.5460000000000005
30,41.71,41.12,-0.5900000000000034,-0.6560000000000007
31,48.5,47.01,-1.490000000000002,-0.726000000000001
32,43.13,36.64,-6.490000000000002,-1.4390000000000014
33,42.5,42.74,0.240000000000002,-1.4390000000000012
34,46.9,45.88,-1.019999999999996,-1.383000000000001
35,44.46,42.47,-1.990000000000002,-1.4650000000000014
36,48.71,48.56,-0.14999999999999858,-1.4990000000000012
37,33.75,33.84,0.09000000000000341,-1.3950000000000005
38,45.61,44.21,-1.3999999999999986,-1.3930000000000002
39,44.13,42.58,-1.5500000000000043,-1.4350000000000005
40,47.4,47.31,-0.0899999999999963,-1.3849999999999998
41,46.45,47.18,0.7299999999999969,-1.1629999999999996
42,39.62,39.56,-0.05999999999999517,-0.5199999999999989
43,46.47,46.75,0.28000000000000114,-0.515999999999999
44,45.7,46.08,0.37999999999999545,-0.37599999999999983
45,43.48,45.85,2.3700000000000045,0.06000000000000086
46,54.16,53.93,-0.22999999999999687,0.05200000000000102
47,52.59,51.4,-1.1900000000000048,-0.07599999999999982
48,49.4,48.19,-1.2100000000000009,-0.05700000000000004
49,53.7,53.71,0.00999999999999801,0.09900000000000019
50,48.67,49.9,1.2299999999999969,0.23099999999999954
51,53.22,50.96,-2.259999999999998,-0.068
52,55.47,55.06,-0.4099999999999966,-0.1030000000000001
53,48.95,47.56,-1.3900000000000006,-0.2700000000000003
54,54.73,53.55,-1.1799999999999997,-0.4259999999999999
55,52.98,54.06,1.0800000000000054,-0.5549999999999998
56,47.69,46.92,-0.769999999999996,-0.6089999999999998
57,49.36,48.73,-0.6300000000000026,-0.5529999999999995
58,53.48,53.18,-0.29999999999999716,-0.4619999999999991
59,51.38,50.76,-0.6200000000000045,-0.5249999999999994
60,49.77,49.74,-0.030000000000001137,-0.6509999999999991
61,55.6,55.09,-0.509999999999998,-0.47599999999999915
62,56.85,56.7,-0.14999999999999858,-0.44999999999999934
63,52.79,53.99,1.2000000000000028,-0.190999999999999
64,56.61,56.81,0.20000000000000284,-0.05299999999999869
65,58.86,58.12,-0.740000000000002,-0.23499999999999946
66,55.73,55.76,0.030000000000001137,-0.15499999999999972
67,56.21,56.13,-0.0799999999999983,-0.0999999999999993
68,55.68,53.62,-2.0600000000000023,-0.2759999999999998
69,55.89,58.21,2.3200000000000003,0.018000000000000682
70,52.16,53.67,1.5100000000000051,0.17200000000000132
71,54.86,55.54,0.6799999999999997,0.29100000000000115
72,45.19,45.31,0.12000000000000455,0.3180000000000014
73,57.8,58.04,0.240000000000002,0.2220000000000013
74,54.28,54.59,0.3100000000000023,0.2330000000000013
75,55.22,55.42,0.20000000000000284,0.32700000000000173
76,61.98,60.67,-1.3099999999999952,0.19300000000000214
77,59.86,58.97,-0.8900000000000006,0.11200000000000192
78,57.28,58.28,1.0,0.4180000000000019
79,57.96,57.39,-0.5700000000000003,0.12900000000000209
80,53.74,53.91,0.1699999999999946,-0.004999999999998998
81,55.41,56.01,0.6000000000000014,-0.012999999999998839
82,57.06,61.22,4.159999999999997,0.3910000000000004
83,58.63,58.68,0.04999999999999716,0.37199999999999994
84,53.5,54.59,1.0900000000000034,0.45000000000000007
85,61.49,62.68,1.1899999999999977,0.5489999999999996
86,62.84,59.87,-2.970000000000006,0.38299999999999845
87,55.52,56.52,1.0,0.5719999999999984
88,54.55,55.96,1.4100000000000037,0.6129999999999989
89,54.2,55.33,1.1299999999999955,0.7829999999999985
90,66.09,66.33,0.23999999999999488,0.7899999999999985
91,52.73,52.68,-0.04999999999999716,0.7249999999999986
92,60.82,60.5,-0.3200000000000003,0.27699999999999886
93,55.03,56.37,1.3399999999999963,0.4059999999999988
94,52.76,55.59,2.8300000000000054,0.579999999999999
95,59.87,59.25,-0.6199999999999974,0.39899999999999947
96,63.07,63.18,0.10999999999999943,0.707
97,59.05,59.48,0.4299999999999997,0.6499999999999998
98,61.9,62.18,0.28000000000000114,0.5369999999999998
99,60.21,56.4,-3.8100000000000023,0.04300000000000004
100,57.96,56.74,-1.2199999999999989,-0.10299999999999931
