round,Clean,Full-All,Full-Warm40,Full-Warm80,G-Warm40
1,10.04,10.1,10.04,10.04,10.04
2,18.94,17.37,18.94,18.94,18.94
3,21.31,19.86,21.31,21.31,21.31
4,18.46,18.17,18.46,18.46,18.46
5,24.99,25.46,24.99,24.99,24.99
6,26.54,26.87,26.54,26.54,26.54
7,29.19,28.78,29.19,29.19,29.19
8,26.58,26.04,26.58,26.58,26.58
9,30.55,30.21,30.55,30.55,30.55
10,33.61,32.4,33.61,33.61,33.61
11,32.08,33.07,32.08,32.08,32.08
12,34.59,33.09,34.59,34.59,34.59
13,32.86,31.19,32.86,32.86,32.86
14,35.56,35.44,35.56,35.56,35.56
15,35.13,34.85,35.13,35.13,35.13
16,36.06,36.93,36.06,36.06,36.06
17,32.98,34.35,32.98,32.98,32.98
18,39.01,40.39,39.01,39.01,39.01
19,36.39,36.87,36.39,36.39,36.39
20,35.95,36.46,35.95,35.95,35.95
21,33.86,33.07,33.86,33.86,33.86
22,37.08,37.72,37.08,37.08,37.08
23,33.69,33.93,33.69,33.69,33.69
24,38.41,36.83,38.41,38.41,38.41
25,26.15,24.98,26.15,26.15,26.15
26,44.52,44.71,44.52,44.52,44.52
27,36.21,35.26,36.21,36.21,36.21
28,45.02,43.6,45.02,45.02,45.02
29,41.56,40.43,41.56,41.56,41.56
30,41.71,41.12,41.71,41.71,41.71
31,48.5,47.01,48.5,48.5,48.5
32,43.13,36.64,43.13,43.13,43.13
33,42.5,42.74,42.5,42.5,42.5
34,46.9,45.88,46.9,46.9,46.9
35,44.46,42.47,44.46,44.46,44.46
36,48.71,48.56,48.71,48.71,48.71
37,33.75,33.84,33.75,33.75,33.75
38,45.61,44.21,45.61,45.61,45.61
39,44.13,42.58,44.13,44.13,44.13
40,47.4,47.31,47.4,47.4,47.4
41,46.45,47.18,44.17,46.45,45.22
42,39.62,39.56,38.42,39.62,38.51
43,46.47,46.75,47.59,46.47,46.86
44,45.7,46.08,45.76,45.7,47.04
45,43.48,45.85,46.53,43.48,42.64
46,54.16,53.93,53.43,54.16,53.61
47,52.59,51.4,52.52,52.59,51.99
48,49.4,48.19,49.94,49.4,48.86
49,53.7,53.71,53.34,53.7,53.63
50,48.67,49.9,50.09,48.67,49.61
51,53.22,50.96,53.32,53.22,53.02
52,55.47,55.06,54.77,55.47,54.31
53,48.95,47.56,48.67,48.95,48.55
54,54.73,53.55,53.74,54.73,54.17
55,52.98,54.06,53.7,52.98,53.98
56,47.69,46.92,47.94,47.69,48.43
57,49.36,48.73,48.79,49.36,50.48
58,53.48,53.18,53.39,53.48,53.18
59,51.38,50.76,49.65,51.38,49.65
60,49.77,49.74,48.99,49.77,50.5
61,55.6,55.09,54.4,55.6,55.38
62,56.85,56.7,56.57,56.85,56.19
63,52.79,53.99,52.58,52.79,52.56
64,56.61,56.81,56.7,56.61,55.65
65,58.86,58.12,58.6,58.86,58.22
66,55.73,55.76,55.35,55.73,55.45
67,56.21,56.13,57.1,56.21,55.84
68,55.68,53.62,54.49,55.68,54.53
69,55.89,58.21,56.64,55.89,55.93
70,52.16,53.67,51.94,52.16,52.22
71,54.86,55.54,54.7,54.86,54.69
72,45.19,45.31,42.03,45.19,45.74
73,57.8,58.04,58.18,57.8,56.89
74,54.28,54.59,53.91,54.28,54.23
75,55.22,55.42,54.49,55.22,53.84
76,61.98,60.67,61.41,61.98,60.87
77,59.86,58.97,58.93,59.86,58.41
78,57.28,58.28,57.53,57.28,57.25
79,57.96,57.39,58.07,57.96,56.56
80,53.74,53.91,54.19,53.74,54.32
81,55.41,56.01,55.89,55.93,56.49
82,57.06,61.22,59.44,59.19,57.84
83,58.63,58.68,59.32,57.52,58.9
84,53.5,54.59,54.81,54.4,53.49
85,61.49,62.68,62.0,61.52,63.83
86,62.84,59.87,62.07,61.3,60.54
87,55.52,56.52,54.79,56.0,55.99
88,54.55,55.96,54.85,54.67,54.96
89,54.2,55.33,53.76,53.48,54.08
90,66.09,66.33,66.16,65.11,65.85
91,52.73,52.68,52.88,52.12,52.98
92,60.82,60.5,61.38,60.08,61.28
93,55.03,56.37,56.77,55.79,56.18
94,52.76,55.59,54.47,52.25,53.21
95,59.87,59.25,60.88,59.24,60.16
96,63.07,63.18,64.31,62.61,62.66
