round,metric,left_replicate,right_replicate,interaction_pearson
1,G,0,1,0.7356425354119538
1,G,0,2,0.7276337203903209
1,G,1,2,0.8275142829968202
20,G,0,1,0.8077414782470665
20,G,0,2,0.8725641387217405
20,G,1,2,0.783913963017849
40,G,0,1,0.7999031154457474
40,G,0,2,0.6741100802846444
40,G,1,2,0.6321464088526447
1,A,0,1,0.5389919390395305
1,A,0,2,0.49163015814381306
1,A,1,2,0.705745383392762
20,A,0,1,0.8092324375055627
20,A,0,2,0.8732631220708927
20,A,1,2,0.7855454333759909
40,A,0,1,0.8001486045463
40,A,0,2,0.6743606586926563
40,A,1,2,0.6323680684300464
1,D,0,1,-0.04686107092310464
1,D,0,2,0.4172736507577253
1,D,1,2,0.46479468613177133
20,D,0,1,0.8092324375055627
20,D,0,2,0.8732631220708927
20,D,1,2,0.7855454333759909
40,D,0,1,0.8001486045463
40,D,0,2,0.6743606586926563
40,D,1,2,0.6323680684300464
1,C,0,1,0.9441337247859914
1,C,0,2,0.9527045192300417
1,C,1,2,0.935154581027561
20,C,0,1,0.8334495518606286
20,C,0,2,0.8352799973310028
20,C,1,2,0.8299063939799627
40,C,0,1,0.8104333888390699
40,C,0,2,0.8371404455972549
40,C,1,2,0.8351484566943018
1,adapted_utility,0,1,0.5389919390395304
1,adapted_utility,0,2,0.49163015814381306
1,adapted_utility,1,2,0.705745383392762
20,adapted_utility,0,1,0.8092324375055626
20,adapted_utility,0,2,0.8732631220708927
20,adapted_utility,1,2,0.7855454333759909
40,adapted_utility,0,1,0.8001486045462999
40,adapted_utility,0,2,0.6743606586926563
40,adapted_utility,1,2,0.6323680684300463
1,Q,0,1,0.5295622691857251
1,Q,0,2,0.6412971965195902
1,Q,1,2,0.706951025410648
20,Q,0,1,0.7885901776477544
20,Q,0,2,0.863196631794253
20,Q,1,2,0.7795693286033764
40,Q,0,1,0.8056445482894309
40,Q,0,2,0.6814062342858693
40,Q,1,2,0.6278953487603189
