round,candidate,assignment,value_on_V_full,random_percentile,regret_to_oracle,improvement_over_clean,pair_overlap_with_oracle
20,Clean,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",-12.309123191352338,99.22,0.25819027480514123,0.0,0.2
20,OracleV,"[8, 1, 4, 9, 3, 6, 0, 7, 2, 5]",-12.050932916547197,100.0,0.0,0.25819027480514123,1.0
20,Legacy,"[0, 2, 8, 1, 6, 7, 4, 3, 9, 5]",-12.620673088066862,68.22,0.5697401715196655,-0.31154989671452427,0.1
20,GAD,"[0, 4, 8, 1, 6, 7, 2, 3, 9, 5]",-12.741379151394518,40.46,0.6904462348473217,-0.4322559600421805,0.1
20,R,"[5, 7, 6, 2, 3, 8, 0, 1, 9, 4]",-12.387407084942899,97.13000000000001,0.33647416839570177,-0.07828389359056054,0.2
20,AdaptedLoss,"[0, 4, 8, 1, 6, 7, 2, 3, 9, 5]",-12.741379151394518,40.46,0.6904462348473217,-0.4322559600421805,0.1
20,GOnly,"[0, 4, 8, 1, 6, 7, 2, 3, 9, 5]",-12.741379151394518,40.46,0.6904462348473217,-0.4322559600421805,0.1
40,Clean,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",-15.92211286516428,13.530000000000001,2.2853308039236264,0.0,0.1
40,OracleV,"[6, 0, 3, 1, 4, 8, 7, 5, 9, 2]",-13.636782061240654,100.0,0.0,2.2853308039236264,1.0
40,Legacy,"[9, 3, 0, 5, 2, 1, 4, 8, 6, 7]",-14.254449309840881,73.42,0.6176672486002275,1.667663555323399,0.0
40,GAD,"[7, 9, 0, 8, 2, 1, 3, 4, 6, 5]",-14.184471820617263,80.51,0.5476897593766097,1.7376410445470167,0.0
40,R,"[8, 3, 9, 5, 2, 6, 1, 7, 0, 4]",-15.12518652301064,43.29,1.4884044617699868,0.7969263421536397,0.0
40,AdaptedLoss,"[7, 9, 0, 8, 2, 1, 3, 4, 6, 5]",-14.184471820617263,80.51,0.5476897593766097,1.7376410445470167,0.0
40,GOnly,"[7, 9, 0, 8, 2, 1, 3, 4, 6, 5]",-14.184471820617263,80.51,0.5476897593766097,1.7376410445470167,0.0
120,Clean,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",-17.32483504576193,14.08,3.057125912526466,0.0,0.0
120,OracleV,"[7, 2, 3, 0, 8, 1, 9, 6, 4, 5]",-14.267709133235464,100.0,0.0,3.057125912526466,1.0
120,Legacy,"[3, 5, 0, 9, 1, 4, 6, 8, 7, 2]",-18.839554738580482,9.69,4.571845605345018,-1.5147196928185522,0.0
120,GAD,"[3, 5, 4, 9, 1, 7, 6, 8, 0, 2]",-18.825889872482747,9.8,4.558180739247284,-1.501054826720818,0.0
120,R,"[8, 1, 2, 4, 3, 9, 5, 7, 6, 0]",-16.724525840673792,21.68,2.4568167074383283,0.6003092050881378,0.0
120,AdaptedLoss,"[3, 5, 4, 9, 1, 7, 6, 8, 0, 2]",-18.825889872482747,9.8,4.558180739247284,-1.501054826720818,0.0
120,GOnly,"[3, 5, 4, 9, 1, 7, 6, 8, 0, 2]",-18.825889872482747,9.8,4.558180739247284,-1.501054826720818,0.0
160,Clean,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",-14.497745645134941,80.04,1.2721622806534416,0.0,0.0
160,OracleV,"[5, 8, 9, 0, 7, 2, 1, 3, 4, 6]",-13.2255833644815,100.0,0.0,1.2721622806534416,1.0
160,Legacy,"[5, 4, 1, 3, 7, 9, 6, 8, 2, 0]",-14.36613903224766,86.26,1.1405556677661597,0.13160661288728193,0.2
160,GAD,"[6, 8, 5, 9, 7, 3, 1, 4, 2, 0]",-14.019320084066376,97.26,0.7937367195848761,0.4784255610685655,0.3
160,R,"[8, 9, 2, 4, 6, 3, 5, 0, 1, 7]",-17.918386598390875,19.43,4.692803233909375,-3.4206409532559334,0.0
160,AdaptedLoss,"[6, 8, 5, 9, 7, 3, 1, 4, 2, 0]",-14.019320084066376,97.26,0.7937367195848761,0.4784255610685655,0.3
160,GOnly,"[6, 8, 5, 9, 7, 3, 1, 4, 2, 0]",-14.019320084066376,97.26,0.7937367195848761,0.4784255610685655,0.3
